Symbol,Company Name,EPS Growth CFY*,EPS Growth NFY*,Revenue Growth CFY*,Revenue Growth NFY*,Dividend Yield,Dividend Growth 5 Year
AHI,Advanced Human Imaging Ltd - ADR,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AVIFY,Advanced Info Service PCL (ADR),0.00%,0.00%,0.00%,0.00%,3.89%,-17.19%
AMPI,Advanced Merger Partners Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AMD,"Advanced Micro Devices, Inc.",56.63%,11.67%,59.52%,12.71%,0.00%,0.00%
AVOI,Advanced Voice Recognition Systems Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ASIX,AdvanSix Inc,49.90%,-1.39%,24.33%,-6.18%,1.48%,0.00%
ADV,Advantage Solutions Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ATEYY,Advantest Corp (ADR),0.00%,0.00%,0.00%,0.00%,1.57%,44.02%
ADXS,"Advaxis, Inc.",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AVK,Advent Convertible and Income Fund,0.00%,0.00%,0.00%,0.00%,9.64%,0.00%
ADN,Advent Technologies Holdings Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ADVM,Adverum Biotechnologies Inc,6.08%,16.55%,-100.00%,0.00%,0.00%,0.00%
IMPX,AEA-Bridges Impact Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ACM,Aecom,22.70%,10.12%,0.10%,5.97%,0.80%,0.00%
AGLE,Aeglea Bio Therapeutics Inc,12.78%,17.24%,-87.71%,-59.14%,0.00%,0.00%
AEFC,Aegon Funding Company LLC,0.00%,0.00%,0.00%,0.00%,5.40%,0.00%
AEG,AEGON N.V. (ADR),-33.33%,100.00%,1.33%,3.71%,4.17%,-10.85%
AEHR,Aehr Test Systems,23.81%,100.00%,22.07%,59.70%,0.00%,0.00%
AMTX,Aemetis Inc,-4.55%,63.35%,17.40%,43.67%,0.00%,0.00%
AENZ,Aenza SAA (ADR),0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
ARBG,Aequi Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AER,AerCap Holdings N.V.,1.49%,20.59%,32.15%,5.36%,0.00%,0.00%
,Aerie Pharmaceuticals Inc,-92.78%,43.85%,22.68%,30.77%,0.00%,0.00%
AKOM,Aerkomm Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AERC,AeroClean Technologies Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AJRD,Aerojet Rocketdyne Holdings Inc,-14.72%,20.83%,1.59%,6.25%,0.00%,0.00%
AVTE,Aerovate Therapeutics Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AVAV,"AeroVironment, Inc.",20.80%,30.46%,14.13%,9.32%,0.00%,0.00%
ASLE,AerSale Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AES,AES Corp,5.26%,10.00%,0.78%,2.47%,2.60%,6.47%
AEHA,Aesther Healthcare Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AIH,Aesthetic Medical International HldngsGL,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AEZS,AEterna Zentaris Inc. (USA),-61.71%,-10.95%,108.53%,62.62%,0.00%,0.00%
GMFI,Aetherium Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AEMD,"Aethlon Medical, Inc.",-22.54%,5.75%,"10,731.63%",-99.82%,0.00%,0.00%
AEVA,Aeva Technologies Inc,-37.25%,5.71%,0.79%,317.03%,0.00%,0.00%
LIDR,Aeye Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AFAQ,AF Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AFCG,AFC Gamma Inc,0.00%,0.00%,0.00%,0.00%,12.38%,0.00%
AMG,"Affiliated Managers Group, Inc.",-1.37%,7.76%,-1.44%,-1.00%,0.03%,0.00%
AFMD,Affimed NV,-27.08%,-16.39%,-28.96%,26.25%,0.00%,0.00%
AFBI,Affinity Bancshares Inc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AFRM,Affirm Holdings Inc,14.71%,12.07%,53.77%,42.59%,0.00%,0.00%
AFL,AFLAC Incorporated,-9.76%,0.37%,-12.85%,-2.07%,2.55%,9.72%
AGAC,African Gold Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AFTR,AfterNext HealthTech Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
AFYA,Afya Ltd,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
MITT,AG Mortgage Investment Trust Inc,0.00%,0.00%,64.31%,9.12%,11.16%,-28.70%
AATP,Agape ATP Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
