Symbol,Company Name,5 Day Chg,4 Week Chg,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,Beta
DOV,Dover Corp,2.00%,13.00%,2.45%,-2.40%,-16.66%,0.89
DOW^I17,Dow Inc,4.95%,9.00%,-1.76%,-24.38%,-9.78%,0.64
DOCS,Doximity Inc,-4.88%,-7.00%,-12.46%,31.17%,-20.48%,1.77
DPCS,DP Cap Acquisition I Corp,0.10%,1.00%,-9.29%,-6.07%,0.00%,-0.02
DRFS,Dr Foods Inc,-8.70%,-7.00%,1.95%,277.46%,-78.51%,
RDY,Dr Reddy's Laboratories Ltd (ADR),2.63%,-7.00%,-14.04%,0.70%,-11.44%,0.44
DKNG,DraftKings Inc,15.04%,72.00%,49.08%,76.10%,-60.77%,
LYL,Dragon Victory International Ltd,9.04%,21.00%,12.46%,13.52%,-31.43%,0.47
DGNU,Dragoneer Growth Opportunities III Corp,-0.20%,0.00%,-9.52%,-6.63%,5.70%,0
DZCA,Drazcanna Inc,15.98%,-10.00%,-20.84%,-15.04%,-67.73%,
DRD,DRDGOLD Ltd. (ADR),7.77%,17.00%,1.68%,-6.53%,-26.98%,0.52
DFH,Dream Finders Homes Inc,-3.47%,6.00%,-5.55%,-25.91%,-42.43%,1.05
DREM,Dream Homes & Development Corp,-10.00%,-6.00%,-18.73%,-25.23%,1.30%,
DRQ,"Dril-Quip, Inc.",2.58%,-1.00%,-10.92%,-21.74%,-9.56%,0.53
DS,Drive Shack Inc,-2.08%,4.00%,-2.06%,13.61%,-45.97%,1.74
CLCN,Driveitaway Holdings Inc,0.00%,0.00%,-9.70%,-28.79%,-53.16%,
DRVN,Driven Brands Holdings Inc,-2.42%,14.00%,1.97%,16.73%,14.99%,1.31
DBX,Dropbox Inc,4.00%,16.00%,2.55%,16.61%,-19.57%,1.25
IBGR,Dryworld Brands Inc,0.00%,-25.00%,0.00%,0.00%,0.00%,
DSGT,DSG Global Inc,-1.36%,-1.00%,-16.34%,-8.94%,-71.87%,
DSS,DSS Inc,3.56%,9.00%,-3.29%,2.69%,-69.95%,0.8
DQWS,DSwiss Inc,0.00%,0.00%,-9.70%,-16.55%,-95.08%,
DTM,DT Midstream Inc,3.34%,17.00%,6.75%,2.14%,39.18%,0.73
DTE,DTE Energy Co,1.41%,6.00%,-4.08%,-4.99%,16.15%,0.28
DTF,DTF Tax-Free Income 2028 Term Fund Inc,-0.08%,0.00%,-9.26%,-4.13%,-12.82%,0.1
DTRT,DTRT Health Acquisition Corp,-0.10%,0.00%,-9.34%,-5.97%,0.00%,0.01
DCT^H18,Duck Creek Technologies Inc,-0.35%,3.00%,-9.51%,-12.47%,-65.27%,1.22
NAPA,Duckhorn Portfolio Inc,0.86%,0.00%,-9.22%,-6.08%,-13.01%,0.66
DCO,Ducommun Incorporated,-0.10%,14.00%,3.90%,-2.15%,-6.41%,0.72
DUSYF,Duesenberg Technologies Inc,0.00%,-11.00%,-19.73%,-37.69%,-72.81%,
DUET,DUET Acquisition Corp,0.00%,0.00%,0.00%,0.00%,0.00%,0.04
DPG,Duff n Phelps Utlty n Infrstrctr Fnd Inc,1.56%,12.00%,0.53%,-4.22%,9.26%,0.45
DUK,Duke Energy Corp,-0.69%,2.00%,-7.33%,-6.41%,8.50%,0.22
DRE,Duke Realty Corp,2.92%,11.00%,0.79%,11.00%,33.09%,0.73
DLTH,Duluth Holdings Inc,-5.36%,2.00%,-8.84%,-19.61%,-36.60%,1.13
DNB^B19,Dun & Bradstreet Holdings Inc,-1.54%,10.00%,0.60%,-2.20%,-8.65%,1.04
DUNE,Dune Acquisition Corp,0.45%,1.00%,-8.86%,-8.13%,5.45%,0.12
DXF,Dunxin Financial Holdings Ltd (ADR),-8.07%,10.00%,-4.72%,-10.73%,-65.00%,1
DUUO,Duo World Inc,-4.99%,-9.00%,-26.27%,-54.12%,-89.33%,
DUOL,Duolingo Inc,-3.05%,8.00%,-3.23%,50.41%,-23.69%,1.73
DUOT,Duos Technologies Group Inc,11.94%,15.00%,3.58%,8.55%,-43.30%,0.35
DD^I17,DuPont de Nemours Inc,4.45%,11.00%,-0.02%,-10.43%,-17.12%,1.1
DRRX,DURECT Corporation,16.49%,46.00%,43.90%,60.85%,-45.72%,0.94
BROS,Dutch Bros Inc,4.36%,16.00%,10.67%,19.68%,0.00%,1.85
DVLN,"DVL, Inc.",0.00%,0.00%,-9.70%,9.04%,6.91%,
KTF,DWS Municipal Income Trust,-0.71%,4.00%,-8.48%,-2.01%,-17.07%,0.2
KSM,DWS Strategic Municipal Income Trust,-0.20%,4.00%,-5.43%,-2.84%,-20.06%,0.18
DXC,DXC Technology Co,-16.47%,-8.00%,-16.72%,-10.67%,-31.44%,1.39
DXPE,DXP Enterprises Inc,-14.27%,-4.00%,-14.35%,1.42%,-8.43%,0.61
DYAI,"Dyadic International, Inc.",2.68%,-11.00%,-23.42%,28.46%,-21.33%,1.15
DY,"Dycom Industries, Inc.",3.15%,12.00%,1.02%,31.41%,59.81%,0.93
DGIX,"Dyna Group International, Inc.",0.00%,0.00%,-9.70%,-6.53%,-9.08%,
DLNG,Dynagas LNG Partners LP,-3.82%,6.00%,-6.26%,-10.11%,13.35%,0.88
DYNR,Dynaresource Inc,2.27%,5.00%,-14.99%,20.86%,163.45%,
DYNA,Dynastar Holdings Inc,0.00%,0.00%,-1.93%,-7.20%,265.67%,
DT,Dynatrace Inc,7.20%,19.00%,5.00%,34.54%,-28.84%,1.58
DYNT,Dynatronics Corporation,-2.55%,-8.00%,-13.53%,5.49%,-51.92%,0.51
DVAX,Dynavax Technologies Corporation,22.15%,23.00%,8.16%,116.54%,55.59%,1.64
DYN,Dyne Therapeutics Inc,8.93%,21.00%,9.22%,110.74%,-28.57%,1.62
DX,Dynex Capital Inc,-0.78%,-1.00%,-9.59%,-5.15%,-0.95%,0.56
DZSI,DZS Inc,-3.24%,-13.00%,-22.94%,-1.36%,-3.21%,1.2
EONGY,E ON SE (ADR),4.43%,17.00%,4.41%,-18.05%,-21.62%,
SSP,E W Scripps Co,3.56%,22.00%,8.36%,-3.40%,-16.23%,1.02
EJH,E-Home Household Service Holdings Ltd,-12.55%,3.00%,-4.96%,-30.03%,-94.23%,1.29
ETAC,E.Merge Technology Acquisition Corp,0.10%,0.00%,-9.43%,-5.40%,8.40%,0
ETWO,E2open Parent Holdings Inc,4.30%,15.00%,6.43%,-5.40%,-26.62%,1.55
EBMT,Eagle Bancorp Montana Inc,-0.51%,1.00%,-9.89%,-11.41%,-6.71%,0.07
EGBN,"Eagle Bancorp, Inc.",0.65%,5.00%,-5.78%,-8.22%,-12.76%,0.66
EGLE,Eagle Bulk Shipping Inc.,7.77%,22.00%,10.40%,-22.22%,36.82%,0.4
GRF,Eagle Capital Growth Fund Inc,4.17%,7.00%,-5.61%,-10.93%,3.17%,0.21
EFBI,Eagle Financial Bancorp Inc,0.00%,1.00%,-14.33%,-10.17%,4.81%,
EFSI,Eagle Financial Services Inc,-0.21%,7.00%,-3.35%,1.47%,17.44%,
EXP,"Eagle Materials, Inc.",4.02%,15.00%,4.38%,5.49%,-8.03%,1.1
EGRX,Eagle Pharmaceuticals Inc,-16.98%,-21.00%,-29.39%,-23.89%,-22.82%,0.45
,Eagle Point Credit Company Inc,-3.03%,-6.00%,-15.23%,-13.99%,-9.52%,0.41
EIC,Eagle Point Income Company Inc,-3.05%,5.00%,-5.10%,-4.57%,6.55%,0.09
EAXR,Ealixir Inc,-16.60%,18.00%,6.23%,6.21%,164.11%,
EAR,Eargo Inc,-17.89%,26.00%,15.15%,-44.47%,-96.99%,2.21
EGBB,Earth Gen-Biofuel Inc,15.38%,-5.00%,2.22%,-5.91%,-67.90%,
CLTS,Earth Life Sciences Inc,-3.95%,4.00%,-5.83%,-24.61%,-45.83%,
ETST,Earth Science Tech Inc,35.38%,-18.00%,12.68%,78.83%,98.00%,
ESTE,Earthstone Energy Inc,2.13%,21.00%,8.22%,0.80%,62.64%,1.06
ERES,East Resources Acquisition Co,0.10%,0.00%,-9.34%,-5.59%,8.41%,0
ESSC,East Stone Acquisition Corp,0.19%,1.00%,-8.73%,-9.43%,7.57%,-0.05
EWBC,"East West Bancorp, Inc.",4.53%,16.00%,2.41%,-1.03%,3.13%,1.35
DEA,Easterly Government Properties Inc,-2.35%,-4.00%,-11.03%,-5.73%,-12.19%,0.23
EBC,Eastern Bankshares Inc,0.78%,12.00%,-1.17%,2.90%,12.47%,0.65
EML,Eastern Co,2.81%,2.00%,-7.78%,-2.85%,-24.61%,0.26
ETBI,Eastgate Biotech Corp,0.00%,0.00%,-9.70%,-13.72%,-15.70%,
EGP,Eastgroup Properties Inc,2.41%,12.00%,1.68%,-2.22%,7.35%,0.86
EMN,Eastman Chemical Company,4.88%,10.00%,-0.17%,-10.14%,-9.83%,1.01
,Eastman Kodak Company,8.11%,32.00%,17.69%,58.12%,-4.95%,1.68
EAST,Eastside Distilling Inc,11.64%,10.00%,-0.50%,-12.27%,-81.11%,0.93
ETN,Eaton Corporation PLC,0.43%,16.00%,7.26%,-0.87%,-5.96%,0.88
EVT,Eaton V.Tax-Advantaged Dividend Inc Fund,0.54%,7.00%,-3.25%,1.19%,-2.02%,0.81
CEV,Eaton Vance California Mun. Income Trust,-0.62%,4.00%,-5.57%,0.09%,-16.49%,0.18
EVM,Eaton Vance California Municipal Bond Fd,-0.51%,3.00%,-7.12%,-1.58%,-15.82%,0.23
EOS,Eaton Vance Enhanced Equity Incm. Fd. II,-0.16%,10.00%,1.76%,4.96%,-15.69%,1.09
EOI,Eaton Vance Enhanced Equity Income Fund,0.84%,10.00%,1.09%,2.78%,-6.99%,0.92
EFT,Eaton Vance Floating-Rate Income Trust,1.09%,11.00%,-0.12%,-0.04%,-7.50%,0.39
,Eaton Vance FlotngRate 2022Trgt Trm Trst,0.00%,0.00%,0.00%,0.00%,0.00%,0.14
EVV,Eaton Vance Ltd Duration Income Fund,-1.15%,11.00%,-0.25%,1.25%,-12.07%,0.36
EIM,Eaton Vance Municipal Bond Fund,-0.54%,2.00%,-8.63%,-4.73%,-15.59%,0.2
,Eaton Vance Municipal Incm 2028 Trm Trst,-0.53%,2.00%,-9.35%,-5.14%,-4.84%,0.19
EVN,Eaton Vance Municipal Income Trust,0.08%,5.00%,-4.05%,-3.62%,-12.56%,0.16
EOT,Eaton Vance National Municipl Opprtnt Tr,-1.23%,0.00%,-11.42%,-0.12%,-14.84%,0.12
ENX,Eaton Vance New York Municipal Bond Fund,-1.47%,2.00%,-7.12%,0.14%,-16.59%,0.23
ETJ,Eaton Vance Risk-Mngd Dvrsfd Eqty Inc Fd,-0.10%,10.00%,1.66%,3.79%,-8.59%,0.69
EFR,Eaton Vance Senior Floating-Rate Trust,2.90%,10.00%,-2.11%,3.90%,-2.07%,0.32
EVF,Eaton Vance Senior Income Trust,0.35%,3.00%,-3.70%,-4.04%,-10.43%,0.4
ETY,Eaton Vance Tax Managed Diversified Eq.,0.00%,8.00%,0.00%,0.00%,0.00%,0.89
ETO,Eaton Vance Tax-Advantaged Global Divide,-0.07%,25.00%,15.07%,15.66%,-3.26%,1.04
ETG,Eaton Vance Tax-Advantaged Global Dvd.,0.00%,18.00%,7.84%,7.97%,-6.19%,1.09
ETB,Eaton Vance Tax-Managed Buy-Write Income,-1.69%,-2.00%,-9.37%,2.74%,3.35%,0.65
EXD,Eaton Vance Tax-Managed BuyWrt StrtgyFnd,1.61%,1.00%,-9.45%,0.08%,-4.80%,0.77
ETW,Eaton Vance Tax-Managed Global Buy-Write,0.99%,7.00%,-2.12%,0.95%,-14.26%,0.81
EXG,Eaton Vance Tax-Managed Global Dive Eq,0.34%,10.00%,0.71%,2.57%,-11.19%,0.84
ETV,Eaton Vance Tax-Mngd Buy-Wrt Opport Fund,0.64%,7.00%,-2.27%,6.16%,-0.83%,0.84
EBON,Ebang International Holdings Inc,14.60%,-1.00%,-4.07%,-29.00%,-78.21%,1.89
EBCOY,Ebara Corporation (ADR),2.63%,13.00%,-0.21%,-16.36%,-18.57%,
EBAY,eBay Inc,-3.92%,15.00%,3.07%,-2.68%,-24.07%,1.12
EBET,Ebet Inc,0.83%,9.00%,-7.01%,-31.87%,-90.34%,1.92
EBIX,Ebix Inc,-3.74%,28.00%,14.80%,-20.91%,-19.52%,2.27
EBML,eBullion Inc,7.69%,36.00%,11.72%,-85.58%,-41.60%,
ECTM,Eca Marcellus Trust I,14.76%,34.00%,13.72%,26.05%,449.54%,
ECRO,ECC Capital Corporation,0.00%,-8.00%,-16.47%,-37.12%,-49.69%,
SATS,Echostar Corporation,-0.88%,10.00%,-1.03%,-10.58%,-19.63%,0.73
ZEST,Ecoark Holdings Inc,-8.29%,-15.00%,-24.18%,-6.53%,-52.98%,-0.12
TEAF,Ecofin Sustainable and Soci Imp Term Fnd,0.74%,8.00%,-2.15%,-2.75%,7.62%,0.49
ECL,Ecolab Inc.,2.20%,10.00%,-0.95%,-0.44%,-17.88%,1.04
EMAX,Ecomax Inc,0.00%,-15.00%,-23.15%,-51.40%,-42.32%,
EC,Ecopetrol SA (ADR),2.08%,13.00%,-2.96%,-33.24%,-13.39%,0.43
ECVT,Ecovyst Inc,-12.42%,-6.00%,-10.75%,-11.08%,-27.69%,0.81
ECDD,Ecrid Inc,-30.39%,-69.00%,-71.82%,-72.77%,-70.07%,
EDAP,Edap Tms SA (ADR),5.20%,20.00%,7.18%,12.01%,39.21%,0.16
EDSA,Edesa Biotech Inc,19.53%,23.00%,0.78%,6.67%,-54.22%,1.28
FWAV,Edgemode Inc,25.00%,28.00%,11.48%,-48.07%,-44.54%,
EPC,Edgewell Personal Care Co,5.00%,17.00%,5.38%,13.00%,-1.01%,0.53
EWTX,Edgewise Therapeutics Inc,13.37%,1.00%,-8.74%,37.89%,-35.99%,1.32
EGIO,Edgio Inc,28.68%,67.00%,48.38%,5.19%,38.14%,0.72
EDBL,Edible Garden AG Inc,-11.11%,-6.00%,-17.74%,-47.59%,0.00%,
EAC^C10,Edify Acquisition Corp,-0.05%,0.00%,-9.43%,-6.25%,7.67%,0
EIX,Edison International,-1.72%,11.00%,-1.12%,-6.96%,28.44%,0.47
EDIT,Editas Medicine Inc,-0.75%,23.00%,3.78%,72.86%,-68.00%,2.43
ADOC,Edoc Acquisition Corp,0.28%,1.00%,-9.45%,-5.96%,7.90%,0.04
EDPFY,"EDP-Energias de Portugal, S.A (ADR)",5.01%,15.00%,1.27%,4.42%,4.03%,
EDTX,EdtechX Holdings Acquisition Corp II,0.44%,0.00%,-9.04%,-5.15%,8.94%,0
EDUC,Educational Development Corporation,0.00%,-9.00%,-21.28%,-29.85%,-65.91%,0.4
EW,Edwards Lifesciences Corp,0.40%,4.00%,-2.24%,4.08%,-2.24%,1.13
EESH,"EESTech, Inc.",-10.89%,4.00%,-16.57%,-26.87%,-23.17%,
EFTR,eFFECTOR Therapeutics Inc,-8.31%,-36.00%,-44.27%,-69.42%,-92.22%,0.74
EGGF,EG Acquisition Corp,0.20%,0.00%,-9.42%,-5.76%,5.92%,0.01
EGAN,eGain Corp,-4.61%,-4.00%,-14.39%,-10.66%,-13.79%,0.89
EHTH,"eHealth, Inc.",-1.51%,3.00%,-9.82%,-29.97%,-83.04%,1.76
EIGR,Eiger Biopharmaceuticals Inc,-0.32%,9.00%,-3.36%,15.77%,14.50%,1.02
ESALY,"Eisai Co., Ltd (ADR)",3.75%,3.00%,-7.27%,2.23%,-41.08%,
ASNB,Ekimas Corp,0.00%,-6.00%,-15.53%,-8.12%,22.24%,
EKSO,Ekso Bionics Holdings Inc,12.64%,24.00%,9.53%,14.73%,-57.64%,0.53
LOCO,El Pollo LoCo Holdings Inc,-4.97%,2.00%,-7.97%,-11.88%,-43.94%,0.91
ELLH,Elah Holdings Inc,0.00%,-3.00%,-12.29%,-13.66%,-26.73%,
ELAMF,"Elamex, S.A. de C.V.",0.00%,-8.00%,-16.86%,-6.42%,0.49%,
ELAN,Elanco Animal Health Inc,1.35%,-3.00%,-10.48%,-12.32%,-30.42%,0.89
ESTC,Elastic NV,1.72%,22.00%,11.95%,55.55%,-38.95%,2.41
ESLT,Elbit Systems Ltd,3.33%,9.00%,-7.14%,8.52%,60.43%,0.51
EGO,Eldorado Gold Corp (USA),8.30%,15.00%,2.34%,-25.96%,-21.19%,0.51
SOLO,Electrameccanica Vehicles Corp,5.06%,18.00%,7.84%,13.25%,-49.44%,1.47
ELSE,"Electro-Sensors, Inc.",0.00%,1.00%,-9.55%,16.00%,25.60%,-0.35
ECOR,"electroCore, Inc.",7.24%,10.00%,-0.99%,117.90%,-33.27%,0.75
ELUXY,Electrolux AB (ADR),7.45%,14.00%,-1.60%,-5.85%,-32.23%,
ELMD,"Electromed, Inc.",2.52%,1.00%,-10.18%,-30.31%,-13.34%,0.31
EMED,Electromedical Technologies Inc,30.00%,128.00%,108.38%,99.19%,-20.81%,
EA,Electronic Arts Inc.,-1.59%,7.00%,-2.67%,1.74%,0.87%,0.57
EKCS,"Electronic Control Security, Inc.",0.00%,11.00%,0.46%,-12.80%,-78.68%,
XESP,Electronic Srvtr Publctn Netwrk Inc,0.00%,0.00%,35.15%,39.89%,-40.86%,
ELST,"Electronic Systems Technology, Inc.",0.00%,0.00%,-9.44%,-4.46%,-37.59%,
ELDN,Eledon Pharmaceuticals Inc,17.71%,12.00%,-0.93%,35.41%,-44.09%,1.08
ELEK,Elektros Inc,-3.43%,9.00%,1.27%,-21.38%,-90.10%,
ESI,Element Solutions Inc,0.05%,10.00%,0.28%,-6.25%,-12.27%,1.2
ELV,Elevance Health Inc,0.38%,-2.00%,-7.66%,-7.69%,34.41%,0.64
ELVT,Elevate Credit Inc,-1.31%,5.00%,-9.70%,-4.42%,-34.93%,0.87
ELEV,Elevation Oncology Inc,5.17%,-11.00%,-21.87%,-59.85%,-87.97%,0.84
ELF,elf Beauty Inc,7.71%,15.00%,5.55%,54.84%,25.84%,1.32
LLY,Eli Lilly And Co,-2.94%,-8.00%,-14.70%,-0.69%,19.13%,0.54
ELYM,Eliem Therapeutics Inc,-2.34%,-21.00%,-33.58%,-27.22%,-80.65%,0.71
EEIQ,Elite Education Group International Ltd,22.76%,17.00%,4.03%,-2.71%,-48.04%,0.91
ELTP,Elite Pharmaceuticals Inc,-0.60%,-3.00%,-13.25%,3.71%,4.13%,
EFC,Ellington Financial Inc,-1.51%,2.00%,-8.65%,-2.17%,-9.75%,0.73
EARN,Ellington Residential Mortgage REIT,1.65%,10.00%,0.83%,0.71%,-18.02%,0.69
EOCW,Elliott Opportunity II Corp,-0.41%,0.00%,-9.24%,-6.25%,0.00%,0
ELLO,Ellomay Capital Ltd.,0.00%,11.00%,-1.31%,7.07%,-0.81%,0.67
ECF,Ellsworth Growth and Income Fund Ltd,2.98%,12.00%,0.24%,3.40%,-30.47%,0.71
ELOX,Eloxx Pharmaceuticals Inc,21.58%,-7.00%,-18.61%,-2.83%,-78.89%,0.27
ELRA,Elray Resources Inc,-30.77%,12.00%,-9.70%,20.17%,-77.42%,
ELRNF,Elron Ventures Ltd (USA),-1.18%,0.00%,-3.46%,-14.57%,-28.62%,
ELTK,Eltek Ltd.,-0.98%,10.00%,-0.43%,5.12%,-33.31%,0.26
ELVG,Elvictor Group Inc,0.00%,7.00%,19.07%,-37.55%,-70.03%,
ELYS,Elys Game Technology Corp,20.23%,0.00%,-12.01%,-41.88%,-82.07%,0.99
EMAN,eMagin Corporation,7.62%,-1.00%,-3.31%,16.06%,-68.63%,1.11
EMBK,Embark Technology Inc,12.40%,45.00%,19.25%,-67.34%,-93.82%,1.96
