Symbol,Company Name,5 Day Chg,4 Week Chg,Vs. S&P 500 4 Weeks,Vs. S&P 500 13 Weeks,Vs. S&P 500 52 Weeks,Beta
DAWN,Day One Biopharmaceuticals Inc,23.21%,22.00%,11.61%,212.48%,-3.24%,-0.44
DBRM,Daybreak Oil and Gas Inc,0.00%,-4.00%,12.87%,2.71%,81.69%,
DBMG,DBM Global Inc,-0.75%,0.00%,-10.38%,-7.92%,23.94%,
DBVT,DBV Technologies SA - ADR,8.40%,21.00%,9.73%,120.26%,-40.00%,0.45
DCP^G10,DCP Midstream LP,-3.85%,15.00%,5.51%,-0.97%,33.91%,0.88
DCRD,Decarbonization Plus Acqustn Corpn IV,0.00%,0.00%,-9.34%,-6.16%,0.00%,0
DBTX,Decibel Therapeutics Inc,-10.63%,-4.00%,-15.60%,96.56%,-35.42%,0.98
DCPH,Deciphera Pharmaceuticals Inc,26.75%,32.00%,15.99%,71.02%,-38.62%,1.49
DPSI,DecisionPoint Systems Inc,12.65%,53.00%,36.50%,43.63%,72.10%,
DECK,Deckers Outdoor Corp,3.50%,21.00%,9.05%,33.48%,-20.00%,1.61
DLCA,Deep Lake Capital Acquisition Corp,0.05%,1.00%,-9.38%,-5.82%,7.94%,0
DMAQ,Deep Medicine Acquisition Corp,0.60%,0.00%,-8.98%,-5.22%,0.00%,0.05
DE,Deere & Company,4.71%,18.00%,7.21%,-9.53%,-1.41%,0.88
DFTC,Defentect Group Inc,26.58%,14.00%,3.20%,56.43%,41.45%,
DH,Definitive Healthcare Corp,-19.56%,-4.00%,-13.83%,42.81%,0.00%,1.62
VFL,Delaware Investments Natnl Mncpl Incm Fd,-0.40%,9.00%,-2.58%,2.41%,-7.93%,0.19
DDF,Delaware Invtmnts Dvdnd n Incme Fund Inc,1.90%,11.00%,0.18%,-3.27%,-7.74%,0.7
IVH,Delaware Ivy High Income Opportu Fund,3.39%,13.00%,1.62%,-3.71%,-13.82%,0.43
DCTH,Delcath Systems Inc,1.40%,14.00%,2.79%,-20.25%,-53.12%,0.36
DKL^J10,Delek Logistics Partners LP,-0.33%,9.00%,2.65%,6.08%,44.91%,0.55
