Symbol,Company Name,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets
DATS,DatChat Inc,--,,4545.41x,1.35x,0.00x,0.00x,-136.12%,-131.24%
PLAY,Dave & Buster's Entertainment Inc,13.27x,2.89774,1.38x,5.81x,7.02x,55.12x,58.82%,6.55%
DAVE,Dave Inc,--,,1.73x,1.59x,0.00x,47.04x,0.00%,0.00%
DTEA,DavidsTea Inc,0.77x,,0.53x,1.16x,0.70x,20.42x,748.14%,92.45%
DVA,Davita Inc,11.31x,0.49808,0.72x,13.90x,4.76x,81.08x,88.62%,6.07%
DWSN,Dawson Geophysical Co,--,,1.06x,0.55x,0.00x,1.50x,-35.91%,-31.36%
DXR,Daxor Corporation,11.84x,,202.09x,2.66x,0.00x,12.50x,25.79%,22.86%
DAWN,Day One Biopharmaceuticals Inc,--,,0.00x,4.43x,0.00x,0.00x,-30.03%,-29.27%
DBRM,Daybreak Oil and Gas Inc,--,,24.65x,3.86x,0.00x,21.64x,0.00%,-29.64%
DBMG,DBM Global Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
DBVT,DBV Technologies SA - ADR,--,,59.18x,2.08x,0.00x,0.00x,-39.98%,-31.90%
DCP^G10,DCP Midstream LP,9.17x,,0.51x,1.32x,6.22x,45.46x,15.02%,6.11%
DCRD,Decarbonization Plus Acqustn Corpn IV,226.93x,,0.00x,1.38x,0.00x,0.14x,6.92%,6.16%
DBTX,Decibel Therapeutics Inc,--,,0.00x,0.84x,0.00x,0.14x,-35.65%,-28.86%
DCPH,Deciphera Pharmaceuticals Inc,--,,10.53x,2.84x,0.00x,0.00x,-60.63%,-49.29%
DPSI,DecisionPoint Systems Inc,54.63x,,0.67x,3.37x,19.44x,1.05x,6.88%,2.16%
DECK,Deckers Outdoor Corp,20.14x,1.22778,2.66x,5.91x,17.60x,0.00x,31.04%,18.68%
DLCA,Deep Lake Capital Acquisition Corp,40.00x,,0.00x,1.31x,0.00x,0.00x,3.32%,3.06%
DMAQ,Deep Medicine Acquisition Corp,--,,0.00x,1.34x,0.00x,0.00x,-0.89%,-0.85%
DE,Deere & Company,18.38x,1.33524,2.37x,5.70x,13.70x,72.00x,35.01%,7.28%
DFTC,Defentect Group Inc,--,,5.86x,0.00x,0.00x,0.00x,"-1,186.67%",-355.80%
DH,Definitive Healthcare Corp,--,,12.20x,4.06x,764.62x,15.23x,-3.03%,-3.03%
VFL,Delaware Investments Natnl Mncpl Incm Fd,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
DDF,Delaware Invtmnts Dvdnd n Incme Fund Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
IVH,Delaware Ivy High Income Opportu Fund,197.85x,,9.62x,0.83x,0.00x,27.27x,0.41%,0.28%
DCTH,Delcath Systems Inc,--,,9.85x,0.00x,0.00x,121.47x,-492.68%,-131.93%
DKL^J10,Delek Logistics Partners LP,14.93x,5.65452,2.75x,0.00x,11.16x,108.29x,0.00%,12.34%
DK,Delek US Holdings Inc,5.40x,-0.32549,0.11x,1.52x,2.88x,67.81x,33.64%,4.79%
DELL,Dell Technologies Inc,7.26x,0.72687,0.34x,0.00x,3.83x,109.51x,"1,001.56%",4.83%
DAL,"Delta Air Lines, Inc.",36.87x,3.15254,0.52x,5.71x,8.30x,86.70x,23.53%,0.80%
DLA,"Delta Apparel, Inc.",5.73x,0.38168,0.31x,0.82x,3.60x,47.27x,15.82%,5.77%
DLX,Deluxe Corporation,17.13x,,0.45x,1.66x,4.26x,73.74x,10.08%,1.95%
DWIN,Delwinds Insurance Acquisition Corp,--,,0.00x,1.37x,0.00x,0.11x,-0.38%,-0.36%
DECA,Denali Capital Acquisition Corp,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
DNLI,Denali Therapeutics Inc,--,,42.28x,5.37x,0.00x,0.00x,-29.01%,-20.26%
DEN,Denbury Inc,12.51x,,2.43x,3.11x,7.72x,0.00x,32.60%,18.41%
DNN,Denison Mines Corp,22.06x,,52.26x,2.86x,19.12x,0.13x,14.35%,11.32%
DMKBA,Denmark Bancshares Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
DENN,Denny's Corp,6.41x,0.71989,1.36x,0.00x,5.04x,141.84x,0.00%,24.80%
XRAY,DENTSPLY SIRONA Inc,22.04x,1.54131,1.91x,1.63x,11.22x,31.14x,7.51%,4.03%
DRMA,Dermata Therapeutics Inc,--,,0.00x,0.67x,0.00x,0.00x,-255.83%,-156.78%
DMTK,DermTech Inc,--,,12.13x,0.96x,0.00x,0.14x,-47.48%,-43.05%
DSGX,Descartes Systems Group Inc (USA),67.39x,3.7438,13.62x,5.94x,38.51x,0.00x,9.29%,7.87%
DSRO,Descrypto Holdings Inc,--,,0.00x,29.35x,0.00x,0.00x,0.00%,0.00%
,Design Therapeutics Inc,--,,0.00x,3.63x,0.00x,0.00x,-13.35%,-13.10%
DBI,Designer Brands Inc,8.03x,,0.36x,2.94x,4.93x,42.40x,48.16%,7.94%
DM^A19,Desktop Metal Inc,--,,5.14x,1.08x,0.00x,11.49x,-55.27%,-47.49%
DESP,Despegar.com Corp,--,,1.60x,0.00x,0.00x,20.87x,0.00%,-12.74%
DXLG,Destination XL Group Inc,4.94x,,0.53x,4.15x,3.56x,0.00x,158.37%,21.28%
DSWL,"Deswell Industries, Inc.",6.27x,,0.59x,0.56x,5.12x,0.00x,9.33%,7.37%
DB,Deutsche Bank AG (USA),7.51x,,0.67x,0.27x,0.00x,0.00x,3.84%,0.23%
DLAKY,Deutsche Lufthansa AG (ADR),--,,0.32x,1.01x,4.77x,66.49x,-12.95%,-1.60%
DPSGY,Deutsche Post AG - ADR,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
DTEGY,Deutsche Telekom AG (ADR),12.81x,,0.85x,1.95x,2.59x,62.78x,16.55%,3.23%
DEVM,Devmar Equities Inc,--,,0.83x,0.19x,0.00x,0.00x,-63.13%,-51.76%
DVN,Devon Energy Corp,7.61x,0.35564,2.29x,3.90x,5.27x,39.65x,56.33%,24.45%
DEWY,Dewey Electronics Corp,--,,0.93x,2.55x,0.00x,21.87x,-18.60%,-8.17%
DXCM,"DexCom, Inc.",189.28x,2.42661,13.18x,15.62x,104.31x,47.35x,9.39%,4.11%
DHBC,DHB Capital Corp,104.97x,,0.00x,1.30x,0.00x,0.11x,1.25%,1.17%
DHCA,DHC Acquisition Corp,40.89x,,0.00x,1.30x,0.00x,0.00x,3.23%,2.99%
DHX,DHI Group Inc,502.87x,,1.88x,2.36x,14.66x,21.72x,0.47%,0.24%
DHT,DHT Holdings Inc,--,,4.33x,1.20x,13.82x,33.62x,-3.77%,-2.44%
DEO,Diageo plc (ADR),27.98x,4.30503,5.69x,11.42x,22.42x,62.74x,44.22%,9.75%
DMAC,DiaMedica Therapeutics Inc,--,,0.00x,1.12x,0.00x,0.04x,-42.18%,-40.49%
DHIL,"Diamond Hill Investment Group, Inc.",10.12x,,3.14x,3.32x,10.32x,0.00x,30.01%,19.71%
DO,Diamond Offshore Drilling Inc,--,,0.90x,0.95x,0.00x,37.71x,-153.64%,-58.53%
FANG,Diamondback Energy Inc,5.88x,0.32102,2.40x,1.66x,4.13x,27.49x,31.62%,17.43%
DHCC,Diamondhead Casino Corporation,--,,0.00x,0.00x,0.00x,0.00x,0.00%,-28.29%
DHHC,DiamondHead Holdings Corp,133.20x,,0.00x,1.30x,0.00x,0.00x,0.99%,0.93%
DRH,DiamondRock Hospitality Company,42.32x,,2.37x,1.27x,13.06x,42.52x,3.10%,1.93%
DSX,Diana Shipping Inc,4.37x,,1.91x,1.21x,3.45x,51.69x,26.68%,13.00%
DICE,Dice Therapeutics Inc,--,,692.88x,2.64x,0.00x,0.82x,0.00%,0.00%
DKS,Dicks Sporting Goods Inc,7.92x,0.95945,0.68x,3.62x,4.71x,47.02x,59.19%,16.41%
DIDIY,DiDi Global Inc - ADR,--,,0.56x,0.85x,0.00x,6.86x,0.00%,0.00%
DBD,Diebold Nixdorf Inc,--,,0.10x,0.00x,0.00x,175.14x,0.00%,-7.45%
DPWW,Diego Pellicer Worldwide Inc,--,,2.05x,0.00x,0.00x,0.00x,0.00%,-48.57%
DFFN,Diffusion Pharmaceuticals Inc,--,,0.00x,0.47x,0.00x,0.00x,-56.91%,-53.41%
DTGI,Digerati Technologies Inc,--,,0.78x,0.00x,0.00x,232.31x,0.00%,-24.45%
DGII,Digi International Inc.,94.25x,,3.29x,2.44x,27.18x,34.48x,2.68%,1.73%
DMRC,Digimarc Corp,--,,13.40x,3.34x,0.00x,0.00x,-48.26%,-40.82%
DGLY,"Digital Ally, Inc.",--,,1.36x,0.86x,0.00x,3.87x,-5.74%,-3.53%
DBGI,Digital Brands Group Inc,--,,0.77x,0.00x,0.00x,321.96x,0.00%,-142.44%
DHAC,Digital Health Acquisition Corp,--,,0.00x,1.33x,0.00x,0.04x,0.00%,0.00%
DMS,Digital Media Solutions Inc,--,,0.17x,0.00x,2.61x,131.26x,0.00%,0.45%
DLR,"Digital Realty Trust, Inc.",29.07x,5.48477,8.44x,2.30x,13.44x,44.72x,7.84%,3.79%
DTOC,Digital Transformation Opportunits Corp,36.36x,,0.00x,0.26x,0.00x,0.00x,3.98%,3.68%
APPS,Digital Turbine Inc,68.40x,2.73618,2.96x,4.00x,21.83x,45.00x,6.71%,2.57%
DWAC,Digital World Acquisition Corp,--,,0.00x,4.00x,0.00x,0.11x,-2.32%,-2.23%
DBRG,DigitalBridge Group Inc,--,,3.38x,4.58x,11.89x,54.91x,-23.71%,-2.62%
DOCN,DigitalOcean Holdings Inc,--,,10.37x,105.71x,91.47x,96.81x,-8.45%,-3.06%
DILA,DILA Capital Acquisition Corp,--,,0.00x,1.29x,0.00x,0.00x,-1.47%,-1.47%
DDS,"Dillard's, Inc.",5.08x,-0.30631,0.63x,2.88x,3.77x,27.24x,62.64%,26.66%
DCOM,Dime Community Bancshares Inc (New York),9.84x,,3.24x,1.30x,0.00x,0.00x,13.05%,1.17%
DIMC,Dimeco Inc,26.80x,,4.69x,1.84x,0.00x,0.00x,9.54%,0.99%
DIN,Dine Brands Global Inc,13.47x,0.94331,1.37x,0.00x,9.25x,123.74x,0.00%,5.19%
DDL,Dingdong (Cayman) Ltd (ADR),--,,0.33x,24.31x,0.00x,89.68x,0.00%,-65.10%
DIOD,Diodes Inc,12.78x,,1.87x,2.12x,8.74x,15.76x,23.55%,13.75%
DRCT,Direct Digital Holdings Inc,--,,0.83x,20.11x,0.00x,91.95x,0.00%,0.00%
DSAQ,Direct Selling Acquisition Corp,--,,0.00x,1.31x,0.00x,0.00x,0.00%,0.00%
DFS,Discover Financial Services,7.02x,0.68839,2.49x,2.34x,5.89x,0.00x,35.67%,4.00%
DENR,Discovery Energy Corp,--,,0.00x,0.00x,0.00x,0.00x,0.00%,-139.43%
DISH,DISH Network Corp,5.97x,-0.27777,0.59x,0.62x,3.65x,55.41x,13.36%,4.74%
DISA,Disruptive Acquisition Corporation I,105.97x,,0.00x,1.30x,0.00x,0.03x,5.18%,4.78%
DSGR,Distribution Solutions Group Inc,31.40x,,2.23x,3.17x,41.34x,9.97x,10.97%,5.53%
DSEY,Diversey Holdings Ltd,--,,0.78x,2.88x,57.97x,73.17x,-22.31%,-3.58%
DHC,Diversified Healthcare Trust,1.08x,-0.61493,0.34x,0.16x,0.67x,52.41x,15.73%,6.05%
BEVFF,Diversified Royalty Corp,16.01x,,8.83x,1.77x,13.56x,52.79x,13.37%,6.47%
DNIF,Dividend And Income Fund  Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
DXYN,Dixie Group Inc,11.56x,,0.07x,0.39x,2.39x,57.09x,3.30%,0.89%
DLHC,DLH Holdings Corp,10.93x,0.32141,0.58x,2.59x,7.44x,23.40x,30.32%,12.56%
DLO,Dlocal Ltd,112.75x,,31.93x,29.99x,99.86x,3.11x,41.62%,15.81%
DLTI,DLT Resolution Inc,--,,7.32x,14.06x,0.00x,19.02x,-81.06%,-19.58%
BOOM,Dmc Global Inc,--,,0.99x,1.24x,10.86x,20.23x,-3.35%,-0.15%
DMYS,dMY Technology Group Inc VI,--,,0.00x,1.35x,0.00x,0.00x,0.00%,0.00%
DNP,DNP Select Income Fund Inc.,12.23x,,29.68x,1.15x,0.00x,24.15x,9.58%,7.18%
DCGO,DocGo Inc,--,,0.00x,4.08x,0.00x,4.93x,0.00%,0.00%
DOCU,Docusign Inc,--,,6.77x,43.19x,0.00x,67.35x,-30.06%,-3.65%
DOGZ,Dogness International Corp,28.06x,,2.19x,0.76x,12.52x,10.83x,2.87%,1.86%
DLB,"Dolby Laboratories, Inc.",40.75x,2.54697,6.33x,3.18x,27.06x,0.00x,7.90%,6.62%
DOLE,Dole PLC,--,,0.12x,0.81x,15.81x,54.12x,-3.65%,-1.11%
DG,Dollar General Corp.,26.09x,2.40832,1.67x,9.69x,19.68x,44.85x,37.25%,8.71%
DLTR,"Dollar Tree, Inc.",25.36x,6.45786,1.39x,4.54x,16.77x,29.32x,19.04%,6.86%
DLPN,Dolphin Entertainment Inc,--,,1.24x,1.72x,0.00x,18.66x,-8.77%,-3.80%
DOMA,Doma Holdings Inc,--,,0.54x,0.91x,0.00x,31.71x,0.00%,0.00%
D,Dominion Energy Inc,43.03x,9.76558,4.58x,2.58x,15.13x,60.80x,6.16%,1.65%
DPZ,"Domino's Pizza, Inc.",31.58x,2.46552,3.30x,0.00x,26.67x,583.32x,0.00%,27.68%
DOMO,Domo Inc,--,,4.20x,0.00x,0.00x,0.00x,0.00%,-55.11%
DCI,"Donaldson Company, Inc.",22.28x,2.78453,2.15x,6.10x,16.64x,36.24x,27.77%,12.98%
DGICA,Donegal Group Inc.,130.77x,,0.58x,0.99x,53.93x,6.41x,0.66%,0.16%
DFIN,Donnelley Financial Solutions Inc,10.70x,,1.36x,3.89x,7.13x,41.44x,42.42%,15.10%
DASH,DoorDash Inc,--,,5.52x,4.25x,0.00x,0.00x,-11.41%,-8.52%
DMLP,Dorchester Minerals LP,9.49x,,7.28x,0.00x,8.55x,0.00x,77.27%,76.63%
DIIBF,Dorel Industries Inc (USA),--,,0.09x,0.42x,0.00x,47.14x,-28.53%,-9.02%
LPG,Dorian LPG Ltd,7.21x,,2.28x,0.78x,4.21x,43.76x,10.20%,5.89%
DORM,Dorman Products Inc.,22.87x,,2.03x,3.21x,17.87x,18.80x,14.89%,9.26%
DDI^C10,DoubleDown Interactive Co Ltd - ADR,5.81x,,1.34x,0.53x,5.24x,4.48x,9.64%,8.49%
DSL,DoubleLine Income Solutions Fund,--,,6.87x,0.84x,0.00x,28.46x,-5.79%,-4.10%
DBL,Doubleline Opportunistic Credit Fund,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
DLY,DoubleLine Yield Opportunities Fund,--,,8.92x,0.84x,0.00x,26.12x,-3.35%,-2.52%
DV,DoubleVerify Holdings Inc,94.29x,,11.42x,5.49x,53.54x,0.44x,6.63%,5.79%
PLOW,Douglas Dynamics Inc,25.52x,1.70134,1.32x,3.44x,15.06x,55.12x,13.83%,5.02%
DOUG,Douglas Elliman Inc,7.03x,,0.34x,1.55x,6.51x,2.13x,24.09%,11.02%
DEI,"Douglas Emmett, Inc.",44.79x,7.10876,4.03x,1.53x,8.56x,55.10x,3.49%,0.89%
DOV,Dover Corp,17.27x,1.64455,2.37x,4.44x,13.53x,43.14x,28.18%,11.18%
DOW^I17,Dow Inc,6.05x,-1.11706,0.65x,2.05x,4.08x,41.29x,38.30%,10.81%
DOCS,Doximity Inc,57.49x,,21.37x,8.56x,50.31x,0.00x,18.11%,16.04%
DPCS,DP Cap Acquisition I Corp,--,,0.00x,1.29x,0.00x,2.02x,0.00%,0.00%
DRFS,Dr Foods Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
RDY,Dr Reddy's Laboratories Ltd (ADR),29.93x,,3.29x,3.69x,19.90x,15.08x,12.96%,8.44%
DKNG,DraftKings Inc,--,,5.53x,9.23x,0.00x,41.47x,-78.41%,-36.58%
LYL,Dragon Victory International Ltd,--,,15.27x,1.84x,0.00x,0.00x,-136.57%,-105.75%
DGNU,Dragoneer Growth Opportunities III Corp,52.27x,,0.00x,1.28x,0.00x,0.35x,2.61%,2.44%
DZCA,Drazcanna Inc,--,,0.81x,0.00x,0.00x,24.45x,0.00%,-191.19%
DRD,DRDGOLD Ltd. (ADR),9.47x,,1.97x,1.87x,7.55x,0.94x,20.34%,15.36%
DFH,Dream Finders Homes Inc,7.47x,,0.43x,2.42x,5.59x,57.53x,43.96%,12.98%
DREM,Dream Homes & Development Corp,23.38x,,0.61x,3.97x,21.53x,91.69x,19.66%,2.22%
DRQ,"Dril-Quip, Inc.",--,,2.38x,0.93x,0.00x,0.00x,-9.56%,-8.49%
DS,Drive Shack Inc,--,,0.45x,0.00x,0.00x,88.10x,0.00%,-8.12%
CLCN,Driveitaway Holdings Inc,12.40x,,0.60x,0.00x,5.47x,0.00x,0.00%,7.26%
DRVN,Driven Brands Holdings Inc,--,,3.03x,3.34x,50.04x,61.11x,-1.74%,-0.53%
DBX,Dropbox Inc,23.42x,1.0549,4.05x,0.00x,18.20x,149.94x,0.00%,11.23%
IBGR,Dryworld Brands Inc,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
DSGT,DSG Global Inc,--,,2.54x,0.00x,0.00x,556.82x,0.00%,-244.80%
DSS,DSS Inc,--,,1.12x,0.20x,0.00x,25.45x,-25.80%,-18.34%
DQWS,DSwiss Inc,409.08x,,25.99x,530.89x,296.69x,39.50x,821.81%,33.00%
DTM,DT Midstream Inc,16.50x,,6.25x,1.40x,10.71x,42.89x,8.59%,4.23%
DTE,DTE Energy Co,32.56x,6.74291,1.43x,2.99x,11.54x,69.00x,7.52%,1.73%
DTF,DTF Tax-Free Income 2028 Term Fund Inc,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
DTRT,DTRT Health Acquisition Corp,59.79x,,0.00x,1.31x,0.00x,0.00x,0.00%,0.00%
DCT^H18,Duck Creek Technologies Inc,--,,6.47x,2.59x,196.57x,0.00x,-1.57%,-1.39%
NAPA,Duckhorn Portfolio Inc,34.74x,,5.90x,2.51x,25.54x,21.17x,7.53%,5.14%
DCO,Ducommun Incorporated,4.48x,0.19463,0.88x,1.18x,3.59x,33.76x,31.51%,14.67%
DUSYF,Duesenberg Technologies Inc,--,,97.98x,0.00x,0.00x,0.00x,0.00%,-561.70%
DUET,DUET Acquisition Corp,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
DPG,Duff n Phelps Utlty n Infrstrctr Fnd Inc,12.12x,,35.32x,1.06x,0.00x,28.16x,8.72%,6.22%
DUK,Duke Energy Corp,22.27x,5.06515,3.14x,1.77x,9.05x,57.64x,8.10%,2.15%
DRE,Duke Realty Corp,25.60x,4.12928,22.05x,3.88x,19.31x,38.01x,16.17%,9.22%
DLTH,Duluth Holdings Inc,11.25x,,0.46x,1.41x,5.56x,23.88x,13.30%,5.63%
DNB^B19,Dun & Bradstreet Holdings Inc,--,,3.14x,1.94x,11.86x,50.45x,-0.79%,-0.25%
DUNE,Dune Acquisition Corp,76.50x,,0.00x,1.31x,0.00x,0.00x,1.72%,1.60%
DXF,Dunxin Financial Holdings Ltd (ADR),--,,3.51x,0.28x,0.00x,33.67x,-33.50%,-19.60%
DUUO,Duo World Inc,--,,12.91x,0.00x,0.00x,0.00x,0.00%,-67.97%
DUOL,Duolingo Inc,--,,13.12x,7.60x,0.00x,0.00x,-33.92%,-16.69%
DUOT,Duos Technologies Group Inc,--,,3.38x,8.23x,0.00x,5.87x,-560.31%,-71.79%
DD^I17,DuPont de Nemours Inc,25.39x,4.13845,2.01x,1.19x,11.47x,30.16x,4.71%,2.87%
DRRX,DURECT Corporation,--,,11.60x,4.25x,0.00x,36.28x,-71.49%,-44.69%
BROS,Dutch Bros Inc,--,,11.84x,66.38x,0.00x,58.78x,0.00%,-23.30%
DVLN,"DVL, Inc.",12.42x,,2.02x,0.76x,10.35x,57.55x,6.39%,2.37%
KTF,DWS Municipal Income Trust,17.57x,,14.71x,0.77x,17.57x,33.37x,4.37%,2.91%
KSM,DWS Strategic Municipal Income Trust,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
DXC,DXC Technology Co,11.94x,,0.38x,1.28x,2.67x,48.62x,11.06%,2.82%
DXPE,DXP Enterprises Inc,21.21x,,0.44x,1.46x,9.96x,46.92x,7.23%,2.86%
DYAI,"Dyadic International, Inc.",--,,29.23x,4.62x,0.00x,0.00x,-58.30%,-52.41%
DY,"Dycom Industries, Inc.",49.05x,3.45794,0.97x,4.21x,14.67x,52.46x,8.57%,3.06%
DGIX,"Dyna Group International, Inc.",2.74x,,0.20x,0.00x,3.25x,0.00x,0.00%,0.00%
DLNG,Dynagas LNG Partners LP,--,,0.00x,0.44x,0.00x,57.77x,0.00%,0.00%
DYNR,Dynaresource Inc,4.57x,,1.14x,4.30x,5.10x,12.95x,328.27%,30.35%
DYNA,Dynastar Holdings Inc,--,,2096.08x,705.29x,0.00x,0.00x,-152.63%,-83.09%
DT,Dynatrace Inc,305.97x,6.63699,12.62x,9.25x,127.69x,15.37x,3.30%,1.78%
DYNT,Dynatronics Corporation,--,,0.26x,0.76x,9.27x,9.20x,-1.53%,1.31%
DVAX,Dynavax Technologies Corporation,12.87x,,3.24x,5.16x,9.21x,34.33x,90.24%,27.88%
DYN,Dyne Therapeutics Inc,--,,0.00x,2.15x,0.00x,0.00x,-49.28%,-45.16%
DX,Dynex Capital Inc,3.67x,,10.68x,0.97x,4.32x,72.86x,24.15%,5.23%
DZSI,DZS Inc,--,,1.08x,3.08x,0.00x,16.58x,-13.45%,-6.05%
EONGY,E ON SE (ADR),5.00x,1.06413,0.27x,1.65x,2.84x,65.70x,42.14%,4.44%
SSP,E W Scripps Co,10.97x,,0.54x,0.78x,4.39x,60.42x,8.12%,2.68%
EJH,E-Home Household Service Holdings Ltd,--,,0.15x,0.15x,0.00x,5.77x,-5.65%,-4.46%
ETAC,E.Merge Technology Acquisition Corp,52.70x,,0.00x,1.33x,0.00x,0.00x,2.56%,2.42%
ETWO,E2open Parent Holdings Inc,--,,4.37x,0.72x,15.94x,23.60x,-1.37%,-0.71%
EBMT,Eagle Bancorp Montana Inc,12.30x,,1.72x,0.96x,8.96x,0.00x,6.63%,0.64%
EGBN,"Eagle Bancorp, Inc.",10.56x,2.4549,4.39x,1.24x,10.19x,0.00x,11.46%,1.34%
EGLE,Eagle Bulk Shipping Inc.,2.84x,0.04074,0.99x,0.92x,2.01x,32.48x,48.52%,27.02%
GRF,Eagle Capital Growth Fund Inc,4.08x,,53.75x,0.83x,0.00x,0.00x,21.54%,21.51%
EFBI,Eagle Financial Bancorp Inc,37.46x,,3.17x,0.96x,0.00x,0.00x,2.46%,0.41%
EFSI,Eagle Financial Services Inc,10.61x,,2.28x,1.33x,13.46x,0.00x,11.97%,0.95%
EXP,"Eagle Materials, Inc.",13.58x,,2.53x,4.41x,9.57x,49.91x,30.53%,13.56%
EGRX,Eagle Pharmaceuticals Inc,12.61x,11.46399,1.81x,2.06x,11.21x,9.90x,17.62%,12.36%
,Eagle Point Credit Company Inc,5.07x,,4.71x,0.88x,0.00x,28.79x,0.00%,0.00%
EIC,Eagle Point Income Company Inc,17.17x,,8.66x,1.00x,0.00x,33.53x,5.13%,3.76%
EAXR,Ealixir Inc,--,,42.48x,0.00x,545.36x,0.00x,0.00%,18.22%
EAR,Eargo Inc,--,,11.01x,3.54x,0.00x,89.89x,-200.80%,-102.80%
EGBB,Earth Gen-Biofuel Inc,--,,0.00x,2.98x,0.00x,3.60x,-121.46%,-98.37%
CLTS,Earth Life Sciences Inc,--,,0.00x,1.75x,0.00x,1.23x,-4.55%,-3.81%
ETST,Earth Science Tech Inc,0.48x,,110.05x,0.00x,0.49x,0.00x,0.00%,"4,485.17%"
ESTE,Earthstone Energy Inc,8.12x,,2.09x,1.23x,4.69x,17.84x,19.07%,11.12%
ERES,East Resources Acquisition Co,29.97x,,0.00x,1.33x,21.47x,0.00x,4.53%,4.18%
ESSC,East Stone Acquisition Corp,--,,0.00x,2.91x,0.00x,11.77x,-5.68%,-5.31%
EWBC,"East West Bancorp, Inc.",11.25x,,5.23x,1.86x,9.69x,0.00x,16.84%,1.54%
DEA,Easterly Government Properties Inc,57.03x,,5.93x,1.33x,13.25x,48.11x,2.36%,1.21%
EBC,Eastern Bankshares Inc,20.04x,,5.48x,1.36x,19.35x,0.00x,5.69%,0.89%
EML,Eastern Co,9.58x,,0.51x,1.12x,6.26x,40.13x,12.43%,5.07%
ETBI,Eastgate Biotech Corp,--,,12.51x,0.00x,0.00x,0.00x,0.00%,-457.29%
EGP,Eastgroup Properties Inc,33.94x,7.22184,17.13x,3.83x,21.61x,45.02x,12.65%,6.34%
EMN,Eastman Chemical Company,10.68x,2.50608,1.10x,2.26x,7.00x,48.00x,21.66%,7.92%
,Eastman Kodak Company,10046.15x,,0.44x,0.66x,15.62x,20.78x,0.68%,0.82%
EAST,Eastside Distilling Inc,--,,0.80x,0.82x,0.00x,54.22x,-97.71%,-25.16%
ETN,Eaton Corporation PLC,25.93x,3.74169,3.01x,3.63x,18.14x,37.14x,14.55%,6.43%
EVT,Eaton V.Tax-Advantaged Dividend Inc Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
CEV,Eaton Vance California Mun. Income Trust,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
EVM,Eaton Vance California Municipal Bond Fd,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
EOS,Eaton Vance Enhanced Equity Incm. Fd. II,4.97x,,119.10x,0.80x,0.00x,0.00x,17.15%,17.01%
EOI,Eaton Vance Enhanced Equity Income Fund,9.11x,,64.30x,0.93x,13.30x,0.00x,10.31%,10.23%
EFT,Eaton Vance Floating-Rate Income Trust,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
,Eaton Vance FlotngRate 2022Trgt Trm Trst,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
EVV,Eaton Vance Ltd Duration Income Fund,--,,12.79x,0.91x,0.00x,26.01x,-0.53%,-0.31%
EIM,Eaton Vance Municipal Bond Fund,--,,14.44x,0.89x,0.00x,41.68x,-6.96%,-4.00%
,Eaton Vance Municipal Incm 2028 Trm Trst,--,,17.59x,0.98x,0.00x,35.32x,-1.38%,-0.89%
EVN,Eaton Vance Municipal Income Trust,--,,15.65x,0.98x,0.00x,36.19x,-12.22%,-7.87%
EOT,Eaton Vance National Municipl Opprtnt Tr,--,,20.61x,0.92x,0.00x,0.00x,-4.49%,-4.16%
ENX,Eaton Vance New York Municipal Bond Fund,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ETJ,Eaton Vance Risk-Mngd Dvrsfd Eqty Inc Fd,8.19x,,61.22x,0.94x,0.00x,0.00x,11.68%,11.53%
EFR,Eaton Vance Senior Floating-Rate Trust,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
EVF,Eaton Vance Senior Income Trust,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ETY,Eaton Vance Tax Managed Diversified Eq.,0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ETO,Eaton Vance Tax-Advantaged Global Divide,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
ETG,Eaton Vance Tax-Advantaged Global Dvd.,--,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
