Symbol,Company Name,P/E Ratio (TTM)*,PEG Ratio,Price/Sales Ratio,Price/Book Ratio,Price/Cash Flow,Debt to Capital,Return on Equity,Return on Assets
AGFS,AgroFresh Solutions Inc,--,,0.58x,0.43x,31.64x,40.37x,-17.17%,-2.33%
AHRN,Ahren Acquisition Corp,--,,0.00x,1.30x,0.00x,0.00x,0.00%,0.00%
AIAD,Aiadvertising Inc,--,,1.43x,6.73x,0.00x,0.00x,-23.00%,-11.82%
AIB^J17,AIB Acquisition Corp,--,,0.00x,1.33x,0.00x,0.03x,0.00%,0.00%
AIKI,Aikido Pharma Inc,--,,0.00x,0.35x,0.00x,0.00x,-6.76%,-6.05%
ALRN,Aileron Therapeutics Inc,--,,0.00x,0.47x,0.00x,0.00x,-56.62%,-52.63%
AIM^F13,AIM ImmunoTech Inc,--,,259.46x,0.69x,0.00x,0.00x,-31.54%,-30.20%
AIMAU,Aimfinity Investment I Corp,--,,0.00x,918.21x,0.00x,93.16x,0.00%,0.00%
AIMD,Ainos Inc,--,,45.89x,3.86x,0.00x,79.47x,-160.32%,-26.63%
AIRYY,Air China Ltd (ADR),0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AFLYY,Air France KLM SA (ADR),--,,0.19x,0.00x,1.86x,125.44x,0.00%,-1.66%
AIRI,Air Industries Group,12.69x,,0.38x,1.25x,4.85x,56.01x,10.73%,3.19%
AL,Air Lease Corp,--,,1.87x,0.66x,5.37x,74.01x,-2.03%,-0.35%
APD,"Air Products & Chemicals, Inc.",26.49x,2.2466,4.92x,4.32x,16.46x,34.80x,16.70%,8.34%
AIRT,"Air T, Inc.",4.15x,,0.25x,1.83x,3.19x,78.83x,57.01%,7.02%
ATSG,Air Transport Services Group Inc.,12.41x,,1.21x,1.66x,4.20x,49.06x,16.69%,6.32%
ABNB,Airbnb Inc,64.74x,,10.28x,14.68x,55.49x,27.45x,28.91%,7.23%
EADSY,Airbus SE (ADR),0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AIRG,Airgain Inc,--,,1.25x,1.87x,0.00x,0.00x,-27.56%,-18.84%
ANTE,Airnet Technology Inc(ADR),--,,3.70x,0.88x,0.00x,243.17x,-61.78%,-16.85%
AIRS,Airsculpt Technologies Inc,--,,0.00x,5.75x,0.00x,47.89x,0.00%,0.00%
MIMO,Airspan Networks Holdings Inc,--,,1.33x,0.00x,0.00x,142.11x,0.00%,-58.98%
ASEKY,Aisin Corp (ADR),0.00x,,0.00x,0.00x,0.00x,0.00x,0.00%,0.00%
AIXN,AiXin Life International Inc,--,,71.77x,36.75x,0.00x,1.71x,-19.67%,-12.73%
