Symbol,Company Name,52 Week Chg,Vs. 13-Day EMA*,Vs. 50-Day EMA*,% Below 52 Wk High,% Above 52 Wk Low,Short Interest as % Float
LPRO,Open Lending Corp,-69.00%,5.59%,3.37%,72.97%,27.30%,7.70%
STNG,Scorpio Tankers Inc.,174.00%,4.24%,14.08%,2.27%,282.21%,7.70%
MEDP,Medpace Holdings Inc,2.00%,6.81%,13.28%,23.52%,39.17%,7.69%
ATC,Atotech Ltd,-4.00%,1.59%,5.94%,12.97%,25.03%,7.68%
CHTR,Charter Communications Inc,-40.00%,3.35%,1.83%,43.96%,13.47%,7.66%
DAC,Danaos Corporation,10.00%,1.81%,4.73%,27.36%,40.14%,7.66%
HELE,Helen of Troy Limited,-44.00%,1.35%,-10.19%,48.47%,6.85%,7.66%
PSNY,Polestar Automotive Holding Uk Plc,-3.00%,2.96%,0.05%,41.62%,12.31%,7.66%
TCX,Tucows Inc. (USA),-30.00%,5.57%,6.91%,43.20%,38.75%,7.66%
MITK,"Mitek Systems, Inc.",-48.00%,5.75%,11.70%,50.75%,37.84%,7.65%
IPSC,Century Therapeutics Inc,-63.00%,5.92%,14.53%,64.80%,58.20%,7.64%
OPRX,OptimizeRx Corporation,-75.00%,-28.72%,-55.22%,84.30%,12.83%,7.64%
FNKO,Funko Inc,15.00%,-9.62%,-8.94%,23.79%,38.61%,7.63%
YELP,Yelp Inc,1.00%,7.96%,16.84%,6.64%,46.65%,7.63%
GSAT,"Globalstar, Inc.",16.00%,7.09%,16.86%,41.01%,81.72%,7.62%
TROW,T Rowe Price Group Inc,-40.00%,4.74%,7.31%,42.17%,24.02%,7.62%
WOR,"Worthington Industries, Inc.",-13.00%,6.06%,12.33%,15.01%,37.50%,7.61%
ESRT,Empire State Realty Trust Inc,-26.00%,3.05%,5.06%,28.64%,20.98%,7.60%
OTLY,Oatly Group AB - ADR,-77.00%,5.91%,5.16%,79.73%,41.45%,7.60%
SCCO,Southern Copper Corp,-28.00%,2.07%,-4.98%,39.10%,8.05%,7.60%
NAPA,Duckhorn Portfolio Inc,-15.00%,1.17%,-0.85%,25.82%,8.90%,7.59%
SGMO,Sangamo Therapeutics Inc,-43.00%,17.01%,26.17%,49.09%,87.50%,7.56%
SLGC,Somalogic Inc,-62.00%,-5.01%,-15.15%,70.79%,9.69%,7.56%
DSP^J09,Viant Technology Inc,-70.00%,1.47%,-0.30%,70.29%,19.53%,7.56%
NETI,Eneti Inc,-55.00%,12.09%,21.38%,56.84%,75.77%,7.55%
SNDR,Schneider National Inc,11.00%,2.23%,5.08%,9.96%,19.67%,7.55%
TPX,Tempur Sealy International Inc,-37.00%,5.66%,11.35%,45.04%,38.59%,7.55%
CPA,"Copa Holdings, S.A.",-2.00%,5.86%,10.04%,24.52%,33.38%,7.52%
TALO,Talos Energy Inc,82.00%,6.72%,9.58%,26.64%,118.20%,7.52%
LQDT,"Liquidity Services, Inc.",-23.00%,2.61%,12.09%,35.03%,63.92%,7.49%
QUOT,Quotient Technology Inc,-69.00%,-14.61%,-39.74%,70.14%,0.84%,7.49%
CATO,Cato Corp,-26.00%,4.18%,3.79%,38.51%,11.89%,7.48%
IDEX,Ideanomics Inc,-71.00%,1.19%,0.64%,72.58%,36.78%,7.48%
DBTX,Decibel Therapeutics Inc,-42.00%,-2.32%,8.00%,51.58%,134.35%,7.46%
MOV,"Movado Group, Inc",8.00%,1.15%,4.44%,25.63%,20.83%,7.46%
NVTS,Navitas Semiconductor Corp,0.00%,12.38%,9.78%,75.89%,52.42%,7.46%
NVCR,Novocure Ltd,-44.00%,10.17%,13.80%,44.63%,41.67%,7.46%
PTCT,"PTC Therapeutics, Inc.",34.00%,5.52%,18.17%,1.07%,114.75%,7.46%
BMBL,Bumble Inc,-32.00%,-9.71%,-3.98%,43.51%,123.82%,7.45%
CORZ,Core Scientific Inc,-68.00%,16.50%,17.59%,78.30%,132.14%,7.45%
TXRH,Texas Roadhouse Inc,3.00%,5.20%,11.50%,4.76%,35.30%,7.45%
AAN,Aaron's Company Inc,-51.00%,3.40%,-5.85%,54.84%,19.45%,7.44%
CTXR,Citius Pharmaceuticals Inc,-43.00%,12.57%,15.57%,55.32%,26.41%,7.44%
KBH,KB Home,-26.00%,3.84%,5.55%,35.18%,31.32%,7.43%
FNA^G10,Paragon 28 Inc,0.00%,1.24%,6.23%,18.93%,66.77%,7.43%
CPRX,Catalyst Pharmaceuticals Inc,120.00%,17.31%,33.09%,0.83%,172.97%,7.42%
ACVA,ACV Auctions Inc,-65.00%,15.82%,15.00%,69.49%,24.43%,7.41%
CAL,Caleres Inc,22.00%,7.15%,10.63%,4.44%,60.55%,7.41%
CABA,Cabaletta Bio Inc,-83.00%,13.19%,11.81%,91.44%,42.22%,7.40%
IAG,Iamgold Corp,-43.00%,0.43%,-16.88%,62.24%,7.19%,7.40%
JYNT,Joint Corp,-77.00%,11.58%,17.27%,80.05%,69.08%,7.40%
PFSI,PennyMac Financial Services Inc,-13.00%,4.54%,12.25%,18.46%,51.36%,7.40%
HBB,Hamilton Beach Brands Holding Co,-33.00%,-0.30%,0.85%,41.85%,29.05%,7.39%
S,SentinelOne Inc,-44.00%,5.72%,7.35%,64.20%,50.80%,7.39%
ALEC,Alector Inc,-53.00%,8.18%,15.79%,55.63%,73.33%,7.38%
CHRD,Chord Energy Corp,44.00%,7.39%,6.59%,18.25%,86.91%,7.38%
RCL,Royal Caribbean Cruises Ltd,-47.00%,7.31%,0.36%,57.59%,34.06%,7.37%
MGNI,Magnite Inc,-71.00%,8.10%,5.34%,72.35%,29.04%,7.36%
AHCO,Adapthealth Corp,-8.00%,1.55%,12.73%,18.54%,105.44%,7.35%
CRBU,Caribou Biosciences Inc,-60.00%,12.87%,21.42%,71.51%,90.18%,7.35%
LLL^G19,JX Luxventure Ltd,-64.00%,2.78%,-4.75%,81.15%,21.62%,7.35%
REYN,Reynolds Consumer Products Inc,-4.00%,-0.66%,1.34%,11.52%,16.42%,7.35%
IMGN,"ImmunoGen, Inc.",-6.00%,4.03%,10.55%,31.66%,71.57%,7.34%
ORIC,ORIC Pharmaceuticals Inc,-76.00%,8.72%,10.95%,82.43%,79.01%,7.33%
PATK,"Patrick Industries, Inc.",-31.00%,5.29%,7.20%,32.66%,20.08%,7.33%
CDNA,CareDx Inc,-65.00%,-2.18%,-4.30%,69.17%,29.80%,7.32%
DEA,Easterly Government Properties Inc,-15.00%,-0.56%,-1.63%,20.97%,3.78%,7.32%
FIVN,Five9 Inc,-39.00%,4.55%,11.83%,39.92%,46.57%,7.32%
MTG,MGIC Investment Corp.,-2.00%,4.68%,9.42%,12.73%,29.23%,7.31%
QUAD,"Quad/Graphics, Inc.",-22.00%,11.80%,13.15%,49.67%,49.02%,7.31%
ESMT,EngageSmart Inc,0.00%,7.58%,13.92%,43.96%,39.13%,7.30%
INPX,Inpixon,-85.00%,5.64%,1.32%,85.51%,37.30%,7.29%
LILM,Lilium NV,0.00%,7.65%,9.52%,74.61%,37.04%,7.29%
ZS,Zscaler Inc,-26.00%,8.22%,10.49%,52.03%,44.19%,7.29%
GATX,GATX Corporation,7.00%,3.19%,3.51%,21.31%,18.80%,7.28%
BYD,Boyd Gaming Corporation,-6.00%,3.77%,4.91%,22.68%,17.98%,7.27%
BLND,Blend Labs Inc,-82.00%,2.69%,-2.07%,84.47%,45.62%,7.26%
GLBE,Global-E Online Ltd,-57.00%,3.19%,10.54%,65.44%,85.22%,7.26%
RLJ,RLJ Lodging Trust,-11.00%,5.74%,8.30%,20.04%,27.22%,7.26%
CRDO,Credo Technology Group Holding Ltd,0.00%,2.67%,14.18%,10.22%,87.69%,7.25%
EYPT,Eyepoint Pharmaceuticals Inc,8.00%,5.92%,12.82%,48.37%,58.68%,7.25%
,Aerie Pharmaceuticals Inc,-20.00%,17.57%,29.90%,32.36%,142.00%,7.24%
MODN,Model N Inc,2.00%,11.91%,18.77%,9.64%,61.24%,7.24%
NTST,NetSTREIT Corp,-21.00%,1.96%,2.44%,23.40%,10.94%,7.23%
OWL,Blue Owl Capital Inc,-1.00%,7.05%,12.16%,28.40%,34.56%,7.21%
GBX,Greenbrier Companies Inc,-31.00%,6.44%,-1.35%,41.61%,11.42%,7.21%
BRCC,BRC Inc,0.00%,10.39%,6.06%,74.65%,30.21%,7.20%
KRO,"Kronos Worldwide, Inc.",15.00%,-3.55%,-8.54%,23.51%,25.46%,7.20%
PII,Polaris Inc,-11.00%,3.09%,7.74%,12.64%,25.68%,7.20%
.TBK,Triumph Bancorp Inc,-12.00%,4.88%,7.48%,46.32%,21.64%,7.20%
OPY,Oppenheimer Holdings Inc. (USA),-17.00%,4.34%,7.30%,31.71%,21.68%,7.18%
ANIK,Anika Therapeutics Inc,-43.00%,-2.22%,-2.20%,49.79%,15.28%,7.17%
ARCB,ArcBest Corp,28.00%,4.48%,11.54%,28.42%,45.17%,7.17%
ARDX,Ardelyx Inc,-40.00%,11.00%,20.85%,52.60%,85.64%,7.16%
UAN,CVR Partners LP,105.00%,1.35%,4.35%,32.21%,137.74%,7.16%
DNLI,Denali Therapeutics Inc,-27.00%,4.63%,14.09%,32.17%,90.37%,7.16%
IMTX,Immatics NV,-1.00%,0.84%,14.90%,26.44%,108.52%,7.16%
MPW,Medical Properties Trust Inc,-19.00%,2.05%,1.01%,32.78%,15.04%,7.16%
ROL,"Rollins, Inc.",0.00%,-0.77%,2.34%,6.72%,30.96%,7.16%
ASPN,Aspen Aerogels Inc,-61.00%,6.80%,1.40%,79.09%,74.02%,7.14%
STRN,Stran & Company Inc,0.00%,4.43%,6.30%,74.68%,35.11%,7.14%
FWRG,First Watch Restaurant Group Inc,0.00%,6.35%,14.41%,30.79%,52.29%,7.13%
URGN,Urogen Pharma Ltd,-42.00%,2.18%,6.69%,54.68%,83.71%,7.13%
EWTX,Edgewise Therapeutics Inc,-41.00%,4.75%,12.49%,54.61%,92.97%,7.12%
LWAY,"Lifeway Foods, Inc.",1.00%,11.07%,15.85%,36.22%,26.15%,7.12%
PANW,Palo Alto Networks Inc,0.00%,3.21%,3.52%,18.58%,45.62%,7.11%
ENR,Energizer Holdings Inc,-24.00%,4.81%,7.73%,25.52%,23.14%,7.10%
SPTN,SpartanNash Co,62.00%,-0.02%,0.65%,15.05%,64.63%,7.10%
KLR,Kaleyra Inc,-80.00%,-10.34%,-30.91%,84.54%,21.47%,7.09%
MBUU,Malibu Boats Inc,-22.00%,4.82%,10.76%,23.93%,34.61%,7.09%
TKLF,Yoshitsu Co Ltd (ADR),0.00%,9.79%,12.69%,95.79%,64.55%,7.09%
IPI,Intrepid Potash Inc,21.00%,4.33%,-6.29%,64.41%,55.44%,7.08%
KAVL,Kaival Brands Innovations Group Inc,-83.00%,-3.65%,-14.94%,92.00%,105.77%,7.08%
ROCC,Ranger Oil Corp,106.00%,5.69%,6.12%,32.19%,142.27%,7.08%
BLDE,Blade Air Mobility Inc,-7.00%,8.81%,12.09%,43.95%,61.54%,7.07%
BOXD,Boxed Inc,0.00%,-11.33%,-86.80%,90.50%,27.56%,7.07%
CYRX,CryoPort Inc,-30.00%,11.58%,23.49%,51.76%,110.04%,7.07%
FORG,ForgeRock Inc,0.00%,-23.50%,-20.35%,52.31%,95.26%,7.07%
TNDM,Tandem Diabetes Care Inc,-48.00%,-8.83%,-18.59%,64.42%,6.49%,7.07%
FLGT,Fulgent Genetics Inc,-47.00%,-6.19%,-7.83%,52.34%,10.29%,7.06%
OYST,Oyster Point Pharma Inc,-47.00%,-1.48%,14.73%,61.56%,121.97%,7.06%
AMBC,"Ambac Financial Group, Inc.",0.00%,15.01%,22.87%,19.54%,98.48%,7.05%
NLST,"Netlist, Inc.",-54.00%,-5.14%,-16.69%,62.62%,21.71%,7.05%
SLAB,Silicon Laboratories Inc,-7.00%,0.51%,3.40%,30.84%,28.02%,7.05%
PSTG,Pure Storage Inc,52.00%,3.92%,8.96%,17.54%,61.44%,7.04%
CIVI,Civitas Resources Inc,64.00%,9.12%,10.01%,29.55%,88.12%,7.03%
,Instil Bio Inc,-60.00%,8.84%,10.74%,71.92%,70.51%,7.03%
AIR,AAR Corp.,37.00%,3.92%,5.89%,11.74%,50.91%,7.01%
VSAT,Viasat Inc,-30.00%,12.00%,16.38%,44.07%,51.54%,7.01%
PRG,PROG Holdings Inc,-55.00%,4.19%,1.29%,59.60%,31.37%,7.00%
SKT,Tanger Factory Outlet Centers Inc.,-4.00%,7.96%,10.81%,25.63%,21.57%,7.00%
PSIX,Power Solutions International Inc,-72.00%,-0.51%,-23.07%,73.33%,28.00%,60.80%
ROG,Rogers Corporation,33.00%,0.60%,1.33%,2.37%,50.20%,6.97%
HCAT,Health Catalyst Inc,-76.00%,-6.96%,-17.16%,77.97%,15.07%,6.96%
HLF,Herbalife Nutrition Ltd,-42.00%,7.29%,14.54%,47.81%,47.25%,6.96%
SOVO,Sovos Brands Inc,0.00%,-5.99%,-5.13%,15.57%,54.41%,6.96%
VFF,Village Farms International Inc,-70.00%,-0.63%,-3.98%,71.01%,14.80%,6.96%
XXII,22nd Century Group Inc,0.00%,-2.35%,-5.19%,56.12%,28.87%,6.95%
ATEN,A10 Networks Inc,14.00%,3.94%,7.29%,19.37%,25.18%,6.95%
GDEN,Golden Entertainment Inc,-14.00%,-0.05%,-1.02%,29.90%,12.95%,6.95%
MASI,Masimo Corporation,-40.00%,3.12%,8.12%,48.30%,40.79%,6.94%
RPAY,Repay Holdings Corp,-55.00%,-12.46%,-17.39%,58.21%,4.70%,6.94%
RIVN,Rivian Automotive Inc,0.00%,6.74%,14.23%,79.16%,94.29%,6.94%
TGLS,Tecnoglass Inc,0.00%,7.15%,16.64%,26.45%,59.94%,6.94%
CPB,Campbell Soup Company,16.00%,0.93%,3.01%,3.85%,25.60%,6.93%
LFLY,Leafly Holdings Inc,-76.00%,-59.03%,-136.12%,79.19%,1.26%,6.93%
LAD,Lithia Motors Inc,-28.00%,-0.98%,-3.92%,28.98%,7.93%,6.93%
RWT,"Redwood Trust, Inc.",-34.00%,1.29%,-0.41%,41.85%,25.42%,6.93%
HCC,Warrior Met Coal Inc,73.00%,7.18%,5.57%,26.61%,83.16%,6.93%
KAR,KAR Auction Services Inc,-10.00%,3.40%,6.93%,23.12%,44.53%,6.92%
PBTS,Powerbridge Technologies Co Ltd,-34.00%,6.32%,27.25%,39.21%,448.05%,6.90%
WERN,"Werner Enterprises, Inc.",-8.00%,2.99%,5.88%,13.69%,16.04%,6.90%
AAP,"Advance Auto Parts, Inc.",-6.00%,4.08%,5.87%,20.39%,18.71%,6.89%
ADN,Advent Technologies Holdings Inc,-62.00%,8.78%,17.33%,70.32%,163.72%,6.89%
AUD,Audacy Inc,-81.00%,4.37%,-43.55%,84.61%,12.77%,6.89%
APPS,Digital Turbine Inc,-59.00%,7.30%,9.34%,75.18%,61.68%,6.89%
LPX,Louisiana-Pacific Corporation,-2.00%,0.93%,0.40%,27.96%,14.99%,6.89%
CARG,CarGurus Inc,-33.00%,-12.18%,-20.55%,59.06%,7.51%,6.88%
CGEM,Cullinan Oncology Inc,-51.00%,-2.28%,1.72%,54.06%,90.82%,6.88%
LL,Ll Flooring Holdings Inc,-53.00%,6.32%,1.46%,56.05%,12.14%,6.88%
ACCD,Accolade Inc,-74.00%,13.87%,24.67%,75.78%,159.87%,6.86%
PDSB,PDS Biotechnology Corp,-48.00%,8.18%,16.54%,68.40%,93.81%,6.86%
GCO,Genesco Inc.,5.00%,6.96%,10.80%,16.48%,26.84%,6.85%
LEXX,Lexaria Bioscience Corp,-49.00%,11.13%,14.84%,60.14%,55.14%,6.85%
CIFR,Cipher Mining Inc,-77.00%,11.30%,16.02%,84.93%,84.13%,6.84%
DK,Delek US Holdings Inc,59.00%,8.31%,9.08%,25.52%,94.67%,6.84%
DLO,Dlocal Ltd,-39.00%,1.64%,7.24%,57.06%,107.57%,6.84%
FTAI,Fortress Transprtn and Infr Investrs LLC,0.00%,1.02%,3.98%,29.53%,27.04%,6.84%
CHEF,Chefs' Warehouse Inc,9.00%,-2.21%,-5.58%,20.61%,27.38%,6.83%
,Montauk Renewables Inc,63.00%,13.94%,23.88%,7.21%,127.54%,6.83%
SEAT,Vivid Seats Inc,0.00%,9.40%,11.73%,40.07%,22.51%,6.83%
STAR,istar Inc,-35.00%,1.31%,3.18%,38.45%,26.71%,6.82%
MIRM,Mirum Pharmaceuticals Inc,76.00%,-1.41%,4.46%,18.38%,94.46%,6.82%
XOS,Xos Inc,0.00%,0.37%,-8.17%,79.18%,22.35%,6.82%
NMMC,North Mountain Merger Corp,2.00%,0.10%,0.40%,9.04%,2.89%,6.81%
PLXP,PLx Pharma Inc,-85.00%,-33.37%,-45.41%,87.87%,41.99%,6.81%
TUEM,Tuesday Morning Corporation,-92.00%,-4.00%,-37.70%,92.74%,88.37%,6.81%
AGEN,Agenus Inc,-55.00%,9.67%,18.51%,60.68%,113.60%,6.80%
RYAM,Rayonier Advanced Materials Inc,-27.00%,17.66%,28.83%,39.51%,106.57%,6.80%
LOB,Live Oak Bancshares Inc,-34.00%,8.53%,11.37%,59.27%,34.56%,6.79%
OHI,Omega Healthcare Investors Inc,-5.00%,3.79%,9.03%,5.76%,33.94%,6.79%
AGTI,Agiliti Inc,-7.00%,-13.42%,-19.22%,35.31%,5.90%,6.78%
LFG,Archaea Energy Inc,11.00%,9.33%,11.00%,22.15%,46.86%,6.78%
CMAX,Caremax Inc,-8.00%,9.02%,22.31%,30.00%,123.10%,6.77%
EVER,EverQuote Inc,-50.00%,-1.93%,-0.85%,53.49%,44.41%,6.76%
PINS,Pinterest Inc,-59.00%,6.30%,11.34%,65.30%,41.88%,6.76%
ONEW,OneWater Marine Inc,-14.00%,5.15%,10.44%,37.98%,30.41%,6.75%
SBGI,Sinclair Broadcast Group Inc,-21.00%,7.24%,10.64%,28.38%,27.47%,6.75%
ASLE,AerSale Corp,49.00%,8.10%,18.42%,16.94%,60.16%,6.74%
,"Vital Farms, Inc.",-17.00%,9.08%,21.79%,29.15%,81.12%,6.74%
BBI,Brickell Biotech Inc,-88.00%,-4.98%,-41.23%,90.20%,27.08%,6.73%
CNM,Core & Main Inc,-14.00%,3.72%,6.44%,27.01%,18.75%,6.73%
KRYS,Krystal Biotech Inc,36.00%,4.11%,11.30%,25.69%,96.96%,6.72%
SGHT,Sight Sciences Inc,-73.00%,-1.30%,0.24%,74.71%,61.60%,6.72%
USX,US Xpress Enterprises Inc,-67.00%,-2.69%,-4.84%,69.04%,36.62%,6.72%
AKUS,Akouos Inc,-75.00%,2.23%,-10.50%,79.18%,23.11%,6.71%
SCOR,"COMSCORE, Inc.",-31.00%,5.24%,7.67%,47.47%,43.42%,6.70%
CABO,Cable One Inc,-34.00%,-0.13%,1.77%,36.81%,28.57%,6.69%
ENVA,Enova International Inc,16.00%,7.25%,13.49%,21.89%,44.96%,6.69%
HMST,HomeStreet Inc,-13.00%,2.64%,0.80%,36.95%,7.20%,6.69%
NUVA,"NuVasive, Inc.",-11.00%,2.78%,3.42%,20.27%,13.03%,6.69%
AIHS,Senmiao Technology Ltd,-84.00%,-18.97%,-19.59%,87.84%,32.30%,6.69%
ASTL,Algoma Steel Group Inc,0.00%,2.23%,2.03%,31.36%,20.90%,6.68%
HALO,"Halozyme Therapeutics, Inc.",6.00%,-5.93%,-7.27%,16.76%,40.63%,6.68%
MGTX,MeiraGTx Holdings PLC,-31.00%,14.70%,20.45%,60.51%,49.17%,6.68%
QTEK,QualTek Services Inc,-86.00%,13.53%,8.26%,87.05%,39.18%,6.68%
CCO,Clear Channel Outdoor Holdings Inc,-32.00%,14.80%,16.62%,60.98%,76.43%,6.67%
RBLX,Roblox Corp,-43.00%,8.42%,20.21%,66.09%,121.76%,6.67%
SGH,SMART Global Holdings Inc.,-15.00%,6.33%,3.80%,49.32%,25.03%,6.67%
VISL,Vislink Technologies Inc,-70.00%,8.24%,6.10%,75.05%,18.04%,6.67%
NAT,Nordic American Tanker Ltd,16.00%,3.23%,10.72%,22.69%,85.00%,6.66%
XAIR,Beyond Air Inc,25.00%,10.17%,21.53%,39.18%,108.57%,6.64%
H,Hyatt Hotels Corporation,22.00%,7.00%,10.58%,18.51%,30.12%,6.64%
AKAM,"Akamai Technologies, Inc.",-18.00%,1.08%,0.62%,22.12%,11.75%,6.63%
BHIL,Benson Hill Inc,-64.00%,10.24%,14.40%,65.12%,44.08%,6.63%
ALDX,Aldeyra Therapeutics Inc,-19.00%,12.69%,32.27%,21.10%,228.66%,6.62%
JMIA,Jumia Technologies AG - ADR,-57.00%,24.51%,30.72%,62.98%,83.24%,6.62%
PLTR,Palantir Technologies Inc,-61.00%,-1.26%,0.75%,67.26%,48.91%,6.62%
BBWI,Bath & Body Works Inc,-39.00%,7.47%,10.73%,54.46%,45.01%,6.61%
OXY,Occidental Petroleum Corporation,144.00%,4.54%,6.40%,15.10%,190.75%,6.61%
PAG,"Penske Automotive Group, Inc.",31.00%,1.96%,5.23%,5.07%,40.55%,6.61%
SAGE,SAGE Therapeutics Inc,-3.00%,7.59%,15.55%,10.28%,56.58%,6.61%
BFH,Bread Financial Holdings Inc,-41.00%,6.43%,1.97%,48.11%,27.09%,6.60%
IRTC,Irhythm Technologies Inc,224.00%,1.14%,7.42%,11.69%,259.42%,6.60%
TSVT,2Seventy Bio Inc,0.00%,3.63%,12.50%,73.09%,73.76%,6.59%
ALX,"Alexander's, Inc.",-6.00%,3.58%,7.46%,15.02%,19.21%,6.59%
JJSF,J & J Snack Foods Corp,-12.00%,5.00%,7.32%,13.43%,22.19%,6.59%
CLFD,Clearfield Inc,176.00%,10.99%,30.00%,0.54%,193.77%,6.58%
MAC,Macerich Co,-35.00%,7.25%,8.43%,51.75%,31.12%,6.58%
NAVI,Navient Corp,-24.00%,3.71%,7.45%,30.55%,32.77%,6.58%
QLYS,Qualys Inc,33.00%,9.22%,12.97%,1.38%,39.02%,6.58%
BSTG,Biostage Inc,184.00%,-9.41%,-10.86%,33.09%,276.03%,6.56%
SQ,Block Inc,-67.00%,5.94%,10.64%,68.42%,58.61%,6.53%
CELU,Celularity Inc,-49.00%,-3.32%,-39.94%,75.35%,19.49%,6.53%
MCG,Membership Collective Group Inc,-40.00%,4.28%,5.73%,49.70%,31.00%,6.53%
MYOV,Myovant Sciences Ltd,-18.00%,15.59%,27.63%,35.84%,129.47%,6.53%
BDTX,Black Diamond Therapeutics Inc,-59.00%,6.47%,20.95%,62.46%,169.18%,6.52%
CUE,Cue Biopharma Inc,-72.00%,10.69%,7.97%,82.46%,36.86%,6.52%
MCY,Mercury General Corporation,-45.00%,-6.94%,-25.09%,46.51%,3.71%,6.52%
SILK,Silk Road Medical Inc,1.00%,3.36%,13.57%,28.88%,76.41%,6.52%
REVG,Rev Group Inc,-26.00%,4.10%,5.52%,36.40%,22.84%,6.51%
AKBA,Akebia Therapeutics Inc,-84.00%,2.12%,-8.73%,87.59%,38.57%,6.50%
KNX,Knight-Swift Transportation Holdings Inc,9.00%,4.17%,9.94%,11.45%,29.79%,6.50%
BZUN,Baozun Inc (ADR),-62.00%,-0.15%,-4.22%,65.39%,60.26%,6.49%
NRG,NRG Energy Inc,-10.00%,6.89%,7.20%,17.94%,13.08%,6.49%
STRC,Sarcos Technology and Robotics Corp,0.00%,9.78%,8.36%,70.68%,38.12%,6.49%
SBOW,SilverBow Resources Inc,120.00%,9.04%,15.43%,24.15%,137.27%,6.49%
GROM,Grom Social Enterprises Inc,-86.00%,6.22%,-10.00%,94.31%,14.09%,6.48%
AREC,American Resources Corp,31.00%,6.80%,21.76%,5.11%,116.67%,6.47%
ETWO,E2open Parent Holdings Inc,-31.00%,5.42%,3.84%,43.54%,23.99%,6.47%
GOGL,Golden Ocean Group Ltd,11.00%,4.13%,0.09%,30.56%,50.69%,6.47%
PZZA,"Papa John's Int'l, Inc.",-28.00%,1.69%,4.23%,35.44%,21.98%,6.47%
PECO,Phillips Edison & Co Inc,11.00%,2.60%,2.45%,7.84%,16.89%,6.47%
PGEN,Precigen Inc,-60.00%,12.55%,25.93%,62.51%,116.07%,6.46%
SMRT,SmartRent Inc,0.00%,-35.27%,-34.57%,63.41%,56.06%,6.45%
XRX,Xerox Holdings Corp,0.00%,8.18%,12.30%,25.95%,36.78%,6.45%
UAVS,Ageagle Aerial Systems Inc,-82.00%,7.38%,4.14%,83.61%,20.65%,6.44%
LAB^F11,Standard Biotools Inc,-75.00%,3.42%,-2.62%,76.74%,32.81%,6.44%
TNYA,Tenaya Therapeutics Inc,-75.00%,5.92%,-3.38%,82.84%,24.49%,6.44%
NILE,Bitnile Holdings Inc,-87.00%,11.13%,8.23%,88.15%,55.38%,6.43%
NEWT,NEWTEK Business Services Corp,-22.00%,3.39%,2.47%,34.64%,19.89%,6.43%
BANF,BancFirst Corp,92.00%,5.56%,13.96%,3.48%,108.20%,6.42%
BURL,Burlington Stores Inc,-54.00%,4.82%,3.78%,56.07%,17.79%,6.42%
CRI,"Carter's, Inc.",-23.00%,3.03%,5.58%,26.80%,19.89%,6.42%
FET,Forum Energy Technologies Inc,30.00%,12.45%,18.82%,3.89%,71.21%,6.42%
BLFS,BioLife Solutions Inc,-50.00%,13.49%,26.59%,60.16%,132.40%,6.40%
PK,Park Hotels & Resorts Inc,-16.00%,4.19%,3.59%,28.26%,20.23%,6.40%
ENFN,Enfusion Inc,0.00%,9.77%,19.68%,35.63%,91.54%,6.39%
LOGI,Logitech International SA (USA),-47.00%,3.29%,3.70%,46.19%,13.50%,6.39%
WLK,Westlake Corp,18.00%,5.74%,1.57%,29.49%,24.64%,6.39%
LEG,"Leggett & Platt, Inc.",-18.00%,3.11%,7.71%,17.98%,23.41%,6.38%
PRLD,Prelude Therapeutics Inc,-77.00%,21.90%,32.70%,81.70%,105.94%,6.38%
VLGEA,"Village Super Market, Inc.",0.00%,0.52%,-0.43%,10.54%,5.60%,6.37%
,Carlyle Group Inc,-28.00%,-1.60%,-1.39%,41.69%,17.79%,6.36%
,Embecta Corp,0.00%,-2.35%,0.85%,38.76%,27.05%,6.36%
EDU,New Oriental Education & Tech Grp (ADR),30.00%,-0.58%,12.91%,13.62%,205.71%,6.35%
FXLV,F45 Training Holdings Inc,-88.00%,0.09%,-76.70%,88.19%,160.91%,6.34%
HLX,Helix Energy Solutions Group Inc,4.00%,8.63%,13.64%,30.62%,62.35%,6.34%
BDCO,Blue Dolphin Energy Company,320.00%,-2.11%,4.37%,38.24%,634.58%,6.33%
JKS,"JinkoSolar Holding Co., Ltd (ADR)",49.00%,0.52%,2.82%,11.25%,92.80%,6.33%
TRKA,Troika Media Group Inc,-61.00%,-3.75%,-9.43%,79.69%,115.41%,6.32%
AEVA,Aeva Technologies Inc,-50.00%,0.58%,10.15%,60.28%,73.23%,6.31%
ASLN,Aslan Pharmaceuticals Ltd (ADR),-79.00%,31.07%,37.86%,82.14%,68.78%,6.31%
COMS,COMSovereign Holding Corp,-92.00%,2.35%,-20.49%,92.74%,40.86%,6.31%
QDEL,Quidelortho Corp,-27.00%,-10.87%,-17.19%,49.46%,6.51%,6.31%
TMCI,Treace Medical Concepts Inc,-24.00%,6.38%,14.00%,37.27%,55.93%,6.31%
LICY,Li-Cycle Holdings Corp,-22.00%,8.36%,11.73%,47.83%,26.92%,6.30%
VOR,Vor Biopharma Inc,-65.00%,7.82%,6.04%,74.08%,25.33%,6.30%
ACT,Enact Holdings Inc,0.00%,6.35%,13.09%,1.68%,44.93%,6.29%
BSET,Bassett Furniture Industries Inc,-11.00%,0.05%,5.70%,12.76%,72.54%,6.28%
BILL,Bill.com Holdings Inc,-22.00%,8.13%,13.66%,53.37%,80.83%,6.28%
COUP,Coupa Software Inc,-64.00%,4.18%,8.01%,71.52%,52.59%,6.28%
